CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,DollarStoreCount,SnapStoreCount,WalmartCount,Land.Value.1.4.Acre.Lot.Standardized,Land.Value.per.Acre.as.is,Land.Share.of.Property.Value,Lot.Size,Interior.Square.Feet,Property.Value.Standardized,Property.Value.as.is,HPI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,HousingUnits,TotalPopulation,KidsShare,SeniorsShare,WhiteShare,BlackShare,AsianShare,NHOPIShare,AIANShare,OMultirShare,HispanicShare,HUNVShare,SNAPShare,DollarStoreShare,SnapStoreShare,WalmartShare
12001002000,Florida,Alachua County,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,16300,23300,0.253,47760,1290,150700,100900,185.33,1069,1026,4377,1085,17,6,16,156,178,106,342,2743,6210,0.172141706924316,0.165217391304348,0.704830917874396,0.174718196457327,0.00273752012882448,9.66183574879227e-4,0.00257648953301127,0.0251207729468599,0.0286634460547504,0.038643820634342,0.124681006197594,0,0,0
12001002101,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23100,32100,0.246,48040,1420,190300,143800,158.66,266,365,1497,272,25,1,5,38,53,50,101,989,2152,0.12360594795539,0.169609665427509,0.695631970260223,0.12639405204461,0.0116171003717472,4.64684014869888e-4,0.00232342007434944,0.0176579925650558,0.0246282527881041,0.0505561172901921,0.102123356926188,0,0.00139405204460967,0
12001002102,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,158,163,747,140,1,0,13,20,27,34,27,491,792,0.19949494949495,0.205808080808081,0.943181818181818,0.176767676767677,0.00126262626262626,0,0.0164141414141414,0.0252525252525253,0.0340909090909091,0.0692464358452139,0.054989816700611,0,0.00252525252525253,0
12001002201,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37200,67400,0.245,29090,1660,189500,183700,197.1,1135,544,3810,561,88,0,12,151,312,29,167,2192,5717,0.198530697918489,0.0951548014693021,0.666433444114046,0.0981283890152178,0.0153926884729753,0,0.00209900297358755,0.02641245408431,0.0545740773132762,0.0132299270072993,0.0761861313868613,0,5.24750743396887e-4,0
12001002202,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,55900,98000,0.276,29890,1960,211200,243800,247.17,1183,774,4609,548,117,1,19,158,330,15,175,2519,6508,0.181776275353411,0.118930547019053,0.70820528580209,0.0842040565457898,0.0179778733866011,1.53657037492317e-4,0.00291948371235403,0.0242778119237861,0.0507068223724647,0.00595474394601032,0.0694720127034538,1.53657037492317e-4,6.14628149969269e-4,0
12001002204,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,1,8,0,48100,150300,0.241,14000,1740,215300,200800,272.49,2538,1355,8039,688,864,5,27,367,944,79,60,4637,11379,0.22304244661218,0.11907900518499,0.706476843307848,0.0604622550311978,0.0759293435275507,4.39405923191845e-4,0.00237279198523596,0.0322523947622814,0.0829598382986203,0.0170368772913522,0.0129394004744447,8.78811846383689e-5,7.03049477106951e-4,0
12001002205,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,71100,197900,0.275,17080,2020,247800,282700,282.23,2211,1379,8201,370,733,2,11,339,627,27,52,4479,12036,0.18369890329013,0.114572947823197,0.681372549019608,0.0307411100033234,0.0609006314390163,1.66168162180126e-4,9.13924891990695e-4,0.0281655034895314,0.0520937188434696,0.00602813127930342,0.0116097343156955,0,0,0
12001002207,Florida,Alachua County,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,49800,119400,0.269,21190,1890,218400,216200,270.84,916,528,3089,200,346,4,7,121,236,0,35,1415,3702,0.247433819556996,0.142625607779579,0.834413830361966,0.0540248514316586,0.0934629929767693,0.00108049702863317,0.00189086980010805,0.0326850351161534,0.0637493246893571,0,0.0247349823321555,2.70124257158293e-4,5.40248514316586e-4,0
12001002208,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53100,90000,0.267,37370,2230,221400,288900,319.38,644,353,2199,128,206,0,4,62,176,0,12,1017,2804,0.229671897289586,0.125891583452211,0.784236804564907,0.0456490727532097,0.0734664764621969,0,0.0014265335235378,0.0221112696148359,0.0627674750356633,0,0.0117994100294985,0,0,0
12001002209,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,40700,71100,0.261,28680,1550,216100,179700,269.13,1930,771,5883,957,516,2,23,238,524,102,201,3479,9069,0.212812879038483,0.0850148858749586,0.648693350975852,0.105524313595766,0.0568971220641747,2.20531480868894e-4,0.00253611202999228,0.0262432462233984,0.0577792479876502,0.029318769761425698,0.0577752227651624,2.20531480868894e-4,4.41062961737788e-4,0
12001002210,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,29900,84600,0.248,16210,1320,182500,127100,176.92,1070,509,3342,737,44,2,12,186,315,67,174,1840,4646,0.230305639259578,0.109556607834697,0.719328454584589,0.158631080499354,0.00947051226861817,4.30477830391735e-4,0.00258286698235041,0.0400344382264313,0.0678002582866982,0.0364130434782609,0.0945652173913043,2.15238915195867e-4,4.30477830391735e-4,0
12001002217,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1593,182,2442,2494,129,4,28,456,646,249,503,2997,5660,0.281448763250883,0.0321554770318021,0.431448763250883,0.440636042402827,0.022791519434629,7.06713780918728e-4,0.0049469964664311,0.080565371024735,0.114134275618375,0.0830830830830831,0.167834501167834,0,3.53356890459364e-4,0
12001002218,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,0,34600,238900,0.326,4620,950,182500,77600,NA,644,66,877,1071,50,0,13,137,180,122,185,1148,1733,0.371609924985574,0.0380842469705713,0.506058857472591,0.61800346220427,0.0288517022504328,0,0.00750144258511252,0.0790536641661858,0.103866128101558,0.106271777003484,0.161149825783972,0,0.00115406809001731,0
12001002219,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,3,0,36700,127900,0.236,11950,1410,191300,148400,NA,1175,488,3353,1319,475,11,20,343,628,148,488,3140,6438,0.1825100963032,0.0757999378689034,0.520813917365642,0.204877291084188,0.0737806772289531,0.00170860515688102,0.00310655483069276,0.0532774153463809,0.0975458216837527,0.0471337579617834,0.155414012738853,0,4.65983224603914e-4,0
12001002220,Florida,Alachua County,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,55400,117200,0.27,22800,1920,214900,227000,163.27,513,348,1365,633,34,0,9,95,168,43,102,1072,2292,0.223821989528796,0.151832460732984,0.595549738219895,0.276178010471204,0.0148342059336824,0,0.00392670157068063,0.0414485165794066,0.0732984293193717,0.0401119402985075,0.0951492537313433,4.3630017452007e-4,8.7260034904014e-4,0
12001110800,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,38100,75700,0.237,26940,1830,201100,197700,205.78,186,724,1806,118,39,0,2,65,124,99,37,997,1972,0.0943204868154158,0.367139959432049,0.915821501014199,0.0598377281947262,0.0197768762677485,0,0.00101419878296146,0.0329614604462475,0.0628803245436105,0.0992978936810431,0.037111334002006,0,5.0709939148073e-4,0
12003040101,Florida,Baker County,0,0,0,0,0,1,1,1,1,1,0,0,0,2,10,0,20100,42100,0.154,24010,1700,148100,150900,205.2,1852,728,5965,430,68,0,21,200,159,82,429,2551,6852,0.270286047869235,0.106246351430239,0.870548744892002,0.0627553998832458,0.0099241097489784,0,0.00306479859894921,0.0291885580852306,0.0232049036777583,0.0321442571540572,0.168169345354763,2.91885580852306e-4,0.00145942790426153,0
12003040102,Florida,Baker County,0,0,0,0,0,1,1,1,1,1,0,0,0,3,11,1,18400,32200,0.154,31050,1680,143000,149300,167.61,1883,1033,6365,1005,24,3,19,115,182,66,290,2790,7141,0.263688559025347,0.144657610978854,0.891331746254026,0.140736591513794,0.00336087382719507,4.20109228399384e-4,0.00266069177986276,0.016104187088643,0.025486626522896,0.0236559139784946,0.103942652329749,4.20109228399384e-4,0.00154040050413107,1.40036409466461e-4
12003040201,Florida,Baker County,0,0,0,0,0,1,1,0,0,0,1,0,0,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,1804,616,5489,1873,25,2,23,107,103,0,538,2438,8181,0.220510939982887,0.075296418530742,0.670944872265004,0.228945116733896,0.00305586114166972,2.44468891333578e-4,0.00281139225033614,0.0130790856863464,0.0125901479036793,0,0.220672682526661,2.44468891333578e-4,6.11172228333945e-4,0
12003040202,Florida,Baker County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,17200,25200,0.144,40020,1710,141800,160700,158.26,1508,579,4867,372,15,0,13,114,76,19,282,2215,6037,0.249792943514991,0.09590856385622,0.806195130031473,0.0616200099387113,0.00248467782010933,0,0.00215338744409475,0.0188835514328309,0.0125890342885539,0.00857787810383747,0.127313769751693,1.65645188007288e-4,8.28225940036442e-4,0
12005000201,Florida,Bay County,0,0,0,0,0,1,1,0,0,0,1,0,1,1,4,0,21700,39200,0.226,39110,1460,193200,155800,152.99,1151,439,4020,24,19,4,55,116,119,128,193,2110,4989,0.230707556624574,0.0879935858889557,0.805772699939868,0.00481058328322309,0.00380837843255161,8.01763880537182e-4,0.0110242533573863,0.0232511525355783,0.0238524754459812,0.0606635071090047,0.0914691943127962,2.00440970134295e-4,8.01763880537182e-4,0
12005000202,Florida,Bay County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36000,72600,0.264,29700,1530,215300,187300,202.53,1138,756,5086,29,31,10,57,116,134,152,283,2757,6168,0.184500648508431,0.122568093385214,0.824578469520104,0.00470168612191958,0.00502594033722438,0.00162127107652399,0.00924124513618677,0.0188067444876783,0.0217250324254215,0.0551323902792891,0.102647805585782,0,0,0
