CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,DollarStoreCount,DollarStoreBinary,SnapStoreCount,SnapStoreBinary,WalmartCount,WalmartBinary,Land.Value.1.4.Acre.Lot.Standardized,Land.Value.per.Acre.as.is,Land.Share.of.Property.Value,Lot.Size,Interior.Square.Feet,Property.Value.Standardized,Property.Value.as.is,HPI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,HousingUnits,TotalPopulation,ChildShare,SeniorShare,WhiteShare,BlackShare,AsianShare,NHOPIShare,AIANShare,OMultirShare,HispanicShare,HUNVShare,SNAPShare
12001001701,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,2,1,0,0,38300,118700,0.274,15140,1390,214600,150500,312.02,1041,1040,4294,1080,195,4,14,308,521,378,150,3143,5161,0.20170509591164504,0.20151133501259447,0.8320093005231545,0.20926177097461732,0.037783375314861464,7.750435962022863e-4,0.0027126525867080024,0.05967835690757605,0.1009494284053478,0.12026726057906459,0.047725103404390706
12001001702,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,4,1,0,0,43100,112600,0.283,18830,1640,208400,171800,307.41,787,1089,4139,290,149,4,3,151,298,112,51,2167,5804,0.1355961405926947,0.18762922122674017,0.7131288766368022,0.04996554100620262,0.02567195037904893,6.891798759476223e-4,5.168849069607167e-4,0.026016540317022743,0.05134390075809786,0.05168435625288417,0.023534840793724043
12001001801,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24500,46600,0.233,29190,1400,172400,133600,198.32,1695,1043,5983,1147,77,9,32,241,483,91,267,3278,7612,0.22267472411981082,0.13702049395691016,0.785995796111403,0.15068313189700472,0.010115606936416185,0.001182343667892801,0.004203888596952181,0.03166053599579611,0.06345244351024698,0.027760829774252593,0.08145210494203783
12001001802,Florida,Alachua County,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,1,0,0,22800,43300,0.255,30000,1270,174800,116900,166.56,690,452,1843,947,26,0,23,98,170,61,241,1322,2668,0.25862068965517243,0.16941529235382308,0.6907796101949025,0.3549475262368816,0.009745127436281859,0,0.008620689655172414,0.03673163418290855,0.06371814092953523,0.046142208774583963,0.18229954614220878
12001001803,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,3,1,1,1,37500,142500,0.223,11190,1610,207500,164000,281.03,1407,998,4409,1397,276,2,19,255,505,111,243,3076,6254,0.2249760153501759,0.15957787016309563,0.7049888071634154,0.22337703869523504,0.044131755676367124,3.197953309881676e-4,0.003038055644387592,0.04077390470099137,0.08074832107451231,0.036085825747724315,0.07899869960988297
12001001805,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45500,78700,0.299,38490,1890,200400,233000,161.55,376,202,1141,273,29,0,3,36,78,15,46,618,1562,0.2407170294494238,0.1293213828425096,0.7304737516005122,0.17477592829705504,0.01856594110115237,0,0.0019206145966709346,0.023047375160051217,0.0499359795134443,0.024271844660194174,0.0744336569579288
12001001806,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24700,48600,0.238,27790,1320,177200,130500,244.7,2036,1127,7284,902,100,10,38,341,621,153,311,3873,9267,0.21970432718247546,0.12161433041976907,0.7860148915506636,0.09733462825078235,0.010790978741771878,0.0010790978741771879,0.004100571921873314,0.0367972375094421,0.06701197798640336,0.039504260263361735,0.08029950942421896
12001001811,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,4,1,0,0,55200,113800,0.275,26980,2080,222500,256200,281.59,1085,768,4855,517,501,1,8,288,503,88,162,3316,6975,0.15555555555555556,0.11010752688172043,0.6960573476702508,0.07412186379928315,0.07182795698924731,1.4336917562724014e-4,0.0011469534050179211,0.04129032258064516,0.07211469534050179,0.026537997587454766,0.048854041013269
12001001813,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,49300,137500,0.236,15580,1870,203800,208200,282.14,554,408,2318,102,153,0,3,86,146,45,22,1492,3826,0.1447987454260324,0.10663878724516467,0.6058546785154209,0.026659696811291166,0.03998954521693675,0,7.841087297438578e-4,0.02247778358599059,0.038159958180867745,0.030160857908847184,0.014745308310991957
12001001814,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,37600,97600,0.224,18250,1770,196800,182100,142.01,525,459,2323,157,88,0,9,48,159,0,11,1166,2650,0.19811320754716982,0.17320754716981132,0.8766037735849057,0.059245283018867924,0.03320754716981132,0,0.0033962264150943396,0.018113207547169812,0.06,0,0.009433962264150943
12001001907,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,47100,69200,0.37,42760,1520,220400,183500,121.46,496,495,2281,222,11,2,17,88,65,33,114,1256,2779,0.17848146815401222,0.1781216264843469,0.8207988485066571,0.0798848506657071,0.00395825836631882,7.196833393306944e-4,0.0061173083843109035,0.03166606693055056,0.023389708528247573,0.026273885350318472,0.09076433121019108
12001001908,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,27900,40900,0.361,40380,1220,162300,105200,155.81,946,744,3393,1141,31,2,14,117,117,59,282,2142,4922,0.19219829337667615,0.15115806582689964,0.689353921170256,0.2318163348232426,0.006298252742787485,4.063388866314506e-4,0.0028443722064201544,0.023770824867939862,0.023770824867939862,0.027544351073762838,0.13165266106442577
12001002000,Florida,Alachua County,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16300,23300,0.253,47760,1290,150700,100900,185.33,1069,1026,4377,1085,17,6,16,156,178,106,342,2743,6210,0.17214170692431563,0.16521739130434782,0.7048309178743961,0.1747181964573269,0.0027375201288244765,9.66183574879227e-4,0.0025764895330112722,0.025120772946859903,0.028663446054750404,0.03864382063434196,0.12468100619759387
12001002101,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,23100,32100,0.246,48040,1420,190300,143800,158.66,266,365,1497,272,25,1,5,38,53,50,101,989,2152,0.12360594795539033,0.1696096654275093,0.695631970260223,0.12639405204460966,0.011617100371747211,4.6468401486988845e-4,0.0023234200743494425,0.017657992565055763,0.02462825278810409,0.05055611729019211,0.10212335692618807
12001002201,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,37200,67400,0.245,29090,1660,189500,183700,197.1,1135,544,3810,561,88,0,12,151,312,29,167,2192,5717,0.1985306979184887,0.09515480146930208,0.6664334441140458,0.09812838901521777,0.015392688472975338,0,0.002099002973587546,0.026412454084309953,0.054574077313276195,0.01322992700729927,0.07618613138686131
12001002202,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,55900,98000,0.276,29890,1960,211200,243800,247.17,1183,774,4609,548,117,1,19,158,330,15,175,2519,6508,0.18177627535341118,0.11893054701905348,0.7082052858020897,0.0842040565457898,0.017977873386601107,1.5365703749231714e-4,0.0029194837123540257,0.02427781192378611,0.05070682237246466,0.0059547439460103215,0.06947201270345375
12001002204,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,8,1,0,0,48100,150300,0.241,14000,1740,215300,200800,272.49,2538,1355,8039,688,864,5,27,367,944,79,60,4637,11379,0.22304244661218034,0.1190790051849899,0.7064768433078478,0.06046225503119782,0.07592934352755075,4.394059231918446e-4,0.002372791985235961,0.032252394762281394,0.08295983829862026,0.017036877291352167,0.012939400474444683
12001002205,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,71100,197900,0.275,17080,2020,247800,282700,282.23,2211,1379,8201,370,733,2,11,339,627,27,52,4479,12036,0.1836989032901296,0.11457294782319707,0.6813725490196079,0.030741110003323364,0.060900631439016285,1.6616816218012627e-4,9.139248919906946e-4,0.028165503489531406,0.05209371884346959,0.006028131279303416,0.011609734315695468
12001002207,Florida,Alachua County,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1,0,0,49800,119400,0.269,21190,1890,218400,216200,270.84,916,528,3089,200,346,4,7,121,236,0,35,1415,3702,0.24743381955699623,0.1426256077795786,0.8344138303619665,0.05402485143165856,0.09346299297676931,0.0010804970286331713,0.0018908698001080498,0.03268503511615343,0.06374932468935711,0,0.024734982332155476
12001002208,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53100,90000,0.267,37370,2230,221400,288900,319.38,644,353,2199,128,206,0,4,62,176,0,12,1017,2804,0.2296718972895863,0.12589158345221113,0.7842368045649073,0.0456490727532097,0.07346647646219687,0,0.0014265335235378032,0.02211126961483595,0.06276747503566334,0,0.011799410029498525
12001002209,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,40700,71100,0.261,28680,1550,216100,179700,269.13,1930,771,5883,957,516,2,23,238,524,102,201,3479,9069,0.21281287903848276,0.08501488587495865,0.6486933509758518,0.10552431359576579,0.05689712206417466,2.2053148086889404e-4,0.0025361120299922813,0.02624324622339839,0.05777924798765024,0.029318769761425698,0.0577752227651624
12001002210,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,29900,84600,0.248,16210,1320,182500,127100,176.92,1070,509,3342,737,44,2,12,186,315,67,174,1840,4646,0.23030563925957814,0.1095566078346965,0.7193284545845889,0.1586310804993543,0.009470512268618166,4.3047783039173483e-4,0.002582866982350409,0.04003443822643134,0.06780025828669824,0.03641304347826087,0.09456521739130434
12001002220,Florida,Alachua County,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,55400,117200,0.27,22800,1920,214900,227000,163.27,513,348,1365,633,34,0,9,95,168,43,102,1072,2292,0.2238219895287958,0.1518324607329843,0.5955497382198953,0.2761780104712042,0.014834205933682374,0,0.003926701570680628,0.04144851657940663,0.07329842931937172,0.04011194029850746,0.09514925373134328
12001110800,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,38100,75700,0.237,26940,1830,201100,197700,205.78,186,724,1806,118,39,0,2,65,124,99,37,997,1972,0.09432048681541583,0.3671399594320487,0.9158215010141988,0.059837728194726165,0.01977687626774848,0,0.0010141987829614604,0.03296146044624747,0.06288032454361055,0.09929789368104312,0.037111334002006016
12003040101,Florida,Baker County,0,0,0,0,0,1,1,1,1,1,0,0,0,2,1,10,1,0,0,20100,42100,0.154,24010,1700,148100,150900,205.2,1852,728,5965,430,68,0,21,200,159,82,429,2551,6852,0.27028604786923527,0.10624635143023935,0.8705487448920023,0.06275539988324577,0.0099241097489784,0,0.003064798598949212,0.02918855808523059,0.023204903677758317,0.032144257154057235,0.16816934535476283
12003040102,Florida,Baker County,0,0,0,0,0,1,1,1,1,1,0,0,0,3,1,11,1,1,1,18400,32200,0.154,31050,1680,143000,149300,167.61,1883,1033,6365,1005,24,3,19,115,182,66,290,2790,7141,0.2636885590253466,0.1446576109788545,0.891331746254026,0.14073659151379359,0.0033608738271950706,4.201092283993838e-4,0.0026606917798627644,0.016104187088643047,0.025486626522895954,0.023655913978494623,0.1039426523297491
12003040202,Florida,Baker County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,17200,25200,0.144,40020,1710,141800,160700,158.26,1508,579,4867,372,15,0,13,114,76,19,282,2215,6037,0.2497929435149909,0.09590856385621997,0.8061951300314726,0.06162000993871128,0.0024846778201093257,0,0.002153387444094749,0.018883551432830877,0.012589034288553918,0.008577878103837472,0.127313769751693
12005000201,Florida,Bay County,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,4,1,0,0,21700,39200,0.226,39110,1460,193200,155800,152.99,1151,439,4020,24,19,4,55,116,119,128,193,2110,4989,0.23070755662457407,0.0879935858889557,0.8057726999398677,0.004810583283223091,0.0038083784325516137,8.017638805371818e-4,0.01102425335738625,0.023251152535578273,0.02385247544598116,0.06066350710900474,0.09146919431279621
12005000202,Florida,Bay County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36000,72600,0.264,29700,1530,215300,187300,202.53,1138,756,5086,29,31,10,57,116,134,152,283,2757,6168,0.18450064850843062,0.122568093385214,0.8245784695201037,0.004701686121919585,0.005025940337224384,0.001621271076523995,0.00924124513618677,0.01880674448767834,0.02172503242542153,0.05513239027928908,0.10264780558578164
12005000300,Florida,Bay County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13100,25900,0.185,31240,1190,168300,100500,186.06,1816,1058,7652,514,48,2,85,251,276,39,576,3518,7650,0.23738562091503268,0.13830065359477126,1.0002614379084966,0.06718954248366013,0.006274509803921568,2.6143790849673205e-4,0.011111111111111112,0.03281045751633987,0.03607843137254902,0.011085844229675953,0.16372939169982945
12005000400,Florida,Bay County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,43600,0.25,35000,1390,190600,140000,253.97,1835,1029,7526,87,54,5,71,217,151,52,415,3600,8790,0.20875995449374288,0.11706484641638225,0.8562002275312856,0.009897610921501706,0.0061433447098976105,5.688282138794084e-4,0.0080773606370876,0.024687144482366325,0.017178612059158133,0.014444444444444444,0.11527777777777778
12005000500,Florida,Bay County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,25100,58300,0.205,23280,1490,198700,152000,240.14,1256,677,5136,608,102,12,50,274,307,27,85,2913,6630,0.1894419306184012,0.10211161387631976,0.7746606334841629,0.09170437405731523,0.015384615384615385,0.0018099547511312218,0.007541478129713424,0.04132730015082956,0.046304675716440424,0.009268795056642637,0.029179539993134225
12005000600,Florida,Bay County,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,105100,422200,0.387,9250,1280,366600,231600,208.08,122,334,1001,20,8,0,4,42,28,9,20,1905,1386,0.08802308802308802,0.240981240981241,0.7222222222222222,0.01443001443001443,0.005772005772005772,0,0.002886002886002886,0.030303030303030304,0.020202020202020204,0.004724409448818898,0.010498687664041995
12005000803,Florida,Bay County,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,7,1,0,0,19300,58700,0.195,15450,1160,183900,106500,186.35,1290,680,3703,1004,151,3,54,231,266,74,623,2393,6223,0.20729551663184959,0.10927205527880443,0.595050618672666,0.16133697573517597,0.02426482403985216,4.8208259681825486e-4,0.008677486742728587,0.03712035995500562,0.04274465691788527,0.03092352695361471,0.260342666109486
12005000804,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,2,1,0,0,25500,89000,0.201,12950,1360,196500,131400,231.36,503,234,1707,273,102,0,12,148,129,31,39,990,1989,0.25289089994972347,0.11764705882352941,0.8582202111613876,0.13725490196078433,0.05128205128205128,0,0.006033182503770739,0.07440925087983911,0.06485671191553545,0.031313131313131314,0.03939393939393939
12005000805,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,3,1,0,0,21700,80500,0.203,11750,1250,175500,106900,195.41,1011,734,3234,873,172,10,19,280,258,54,151,2077,4376,0.23103290676416818,0.16773308957952468,0.7390310786106032,0.19949725776965266,0.03930530164533821,0.0022851919561243145,0.004341864716636197,0.06398537477148081,0.058957952468007314,0.02599903707270101,0.07270101107366393
12005000806,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,1,0,0,29400,85300,0.24,17840,1510,188700,145500,221.83,788,468,2743,434,186,2,25,188,207,60,145,1667,3519,0.22392725206024439,0.1329923273657289,0.7794828076157999,0.12333049161693663,0.05285592497868713,5.683432793407218e-4,0.007104290991759022,0.053424268258027846,0.058823529411764705,0.035992801439712056,0.08698260347930414
12005000900,Florida,Bay County,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,3,1,0,0,31500,104800,0.307,14100,1280,172800,110600,258.08,898,736,3361,521,109,1,39,234,236,51,314,1941,4453,0.20166180103301146,0.16528183247249045,0.7547720637772288,0.11699977543229284,0.024477880080844373,2.2456770716370987e-4,0.008758140579384684,0.05254884347630811,0.052997978890635525,0.02627511591962906,0.16177228232869656
12005001100,Florida,Bay County,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,4,1,1,1,15800,56500,0.189,12440,1110,162000,85300,186.41,1249,496,2866,1237,211,2,36,284,288,243,506,1893,5138,0.2430906967691709,0.09653561697158428,0.5578045932269365,0.2407551576488906,0.041066562864927984,3.8925652004671076e-4,0.0070066173608407945,0.05527442584663293,0.056052938886726356,0.12836767036450078,0.26730058108821975
12005001200,Florida,Bay County,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,3,1,0,0,21400,65700,0.224,15140,1200,176000,102100,105.54,893,319,2363,608,62,2,19,215,194,26,307,1416,3350,0.2665671641791045,0.09522388059701492,0.7053731343283582,0.18149253731343284,0.018507462686567163,5.970149253731343e-4,0.005671641791044776,0.06417910447761194,0.05791044776119403,0.018361581920903956,0.21680790960451976
12005001301,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,5,1,0,0,35000,104400,0.248,16800,1520,210600,162200,281.62,1294,644,4333,416,123,4,31,188,173,90,172,2219,5419,0.23878944454696438,0.11884111459678907,0.7995940210370918,0.0767669311681122,0.02269791474441779,7.381435689241557e-4,0.005720612659162207,0.03469274773943532,0.031924709355969735,0.040558810274898605,0.07751239296980622
12005001302,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,1,2,1,8,1,1,1,28100,88400,0.235,14410,1290,195800,124500,224.53,1917,866,5730,878,233,11,44,359,436,217,499,3372,6833,0.2805502707449144,0.1267378896531538,0.8385774915849553,0.12849407288160397,0.034099224352407434,0.0016098346260793209,0.006439338504317283,0.052539148251134205,0.06380799063368944,0.06435349940688019,0.14798339264531435
12005001402,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,1,0,0,46200,141800,0.289,16550,1650,216500,186500,284.49,1559,1113,5666,673,156,5,33,165,190,33,84,3005,7443,0.20945855165927718,0.14953647722692462,0.7612521832594384,0.09042052935644229,0.020959290608625555,6.717721348918447e-4,0.004433696090286175,0.022168480451430876,0.0255273411258901,0.010981697171381031,0.027953410981697173
12005001403,Florida,Bay County,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,49500,160700,0.385,15710,1440,205700,150600,226.42,422,325,1745,95,9,0,13,61,59,99,116,926,2086,0.20230105465004794,0.1558005752636625,0.836529242569511,0.04554170661553212,0.004314477468839885,0,0.006232023010546501,0.029242569511025888,0.02828379674017258,0.10691144708423327,0.12526997840172785
12005001404,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,0,2,1,5,1,0,0,39000,131800,0.269,14690,1530,211000,165000,330.19,1443,857,5541,358,110,5,37,221,244,74,316,3579,8353,0.1727523045612355,0.10259786902909135,0.6633544834191308,0.04285885310666826,0.013168921345624326,5.985873338920149e-4,0.00442954627080091,0.026457560158027055,0.029211061893930326,0.020676166526962837,0.08829281922324672
12005001501,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,1,0,0,39300,132600,0.254,13100,1530,204800,156800,288.4,1008,679,4056,282,114,1,21,104,164,164,154,2355,5690,0.17715289982425309,0.11933216168717048,0.712829525483304,0.04956063268892794,0.020035149384885764,1.757469244288225e-4,0.0036906854130052723,0.018277680140597538,0.028822495606326888,0.06963906581740976,0.0653927813163482
12005001502,Florida,Bay County,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,12,1,1,1,35300,114900,0.275,15160,1530,192700,145300,266.89,1047,1242,4890,517,112,4,20,253,285,208,309,2666,6073,0.17240243701630167,0.20451177342334925,0.805203359130578,0.08513090729458257,0.01844228552609913,6.586530545035403e-4,0.003293265272517701,0.04165980569734892,0.04692903013337724,0.07801950487621906,0.1159039759939985
12005001900,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,2,1,0,0,69200,248800,0.423,13050,1500,228000,176000,335.85,695,798,3695,103,38,1,15,90,113,52,97,2061,4553,0.15264660663298923,0.17526905337140347,0.8115528223149572,0.022622446738414233,0.00834614539863826,2.1963540522732265e-4,0.0032945310784098397,0.01976718647045904,0.02481880079068746,0.025230470645317808,0.047064531780688985
12005002200,Florida,Bay County,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,11,1,0,0,30300,112100,0.275,11880,1280,179900,111100,158.36,1154,778,3269,1063,71,8,31,289,449,323,458,2439,4795,0.24066736183524504,0.16225234619395204,0.6817518248175183,0.22168925964546402,0.01480709071949948,0.0016684045881126173,0.0064650677789363925,0.0602711157455683,0.09363920750782065,0.13243132431324314,0.1877818778187782
12005002300,Florida,Bay County,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,30200,115000,0.289,11640,1210,183200,106300,232.78,776,603,3301,312,61,5,21,181,241,103,280,2111,3943,0.19680446360639106,0.15292924169414152,0.8371798123256404,0.07912756784174486,0.015470453969059092,0.00126806999746386,0.005325893989348212,0.04590413390819173,0.06112097387775805,0.048792041686404546,0.13263855992420653
12005002400,Florida,Bay County,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,8,1,0,0,40400,163600,0.362,10270,1150,193500,106500,322.58,878,382,3129,542,63,6,17,237,317,226,362,2015,3941,0.22278609489977164,0.09692971327074347,0.7939609236234458,0.13752854605430093,0.015985790408525755,0.0015224562293834052,0.004313625983252981,0.06013702106064451,0.08043643745242324,0.11215880893300248,0.17965260545905706
12005002500,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,66400,195200,0.388,19140,1880,219400,221200,261.58,536,707,2742,41,69,4,11,90,98,46,119,1508,3254,0.16472034419176398,0.21727105101413643,0.8426551936078672,0.012599877074370006,0.021204671173939767,0.001229256299938537,0.003380454824830977,0.027658266748617086,0.03011677934849416,0.03050397877984085,0.07891246684350132
12005002601,Florida,Bay County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,72300,309100,0.332,9180,1500,261900,196400,225.14,443,339,1953,66,47,3,8,113,137,65,30,1363,2476,0.17891760904684975,0.13691437802907916,0.7887722132471728,0.02665589660743134,0.018982229402261713,0.0012116316639741518,0.0032310177705977385,0.04563812600969305,0.05533117932148627,0.04768892149669846,0.022010271460014674
